Type,Epic,Feature,Story,Task,Template,ResourceType,HoursEffort,DurationDays,Description,Assumptions,EpicStatus,FeatureStatus,StoryStatus
Epic,Service Enablement,,,,,,,,,,active,,
Feature,Service Enablement,Fabric - Azure,,,,,,,,,,active,
Story,Service Enablement,Fabric - Azure,Fabric Capacity,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Requirements,,Principal Engineer - Cloud & DevOps,7.6,1,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Pilot,,Principal Engineer - Cloud & DevOps,38,5,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Design,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Monitoring Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Module Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Unit Testing,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Azure Policy Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Module Usage Example,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Technical Oversight,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Story,Service Enablement,Fabric - Azure,fabric-bootstrap,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Requirements,,Principal Engineer - Cloud & DevOps,7.6,1,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Pilot,,Principal Engineer - Cloud & DevOps,38,5,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Design,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Monitoring Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Module Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Unit Testing,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Azure Policy Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Module Usage Example,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Technical Oversight,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Story,Service Enablement,Fabric - Azure,fabric-workspace,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-workspace,Requirements,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Pilot,,Principal Engineer - Cloud & DevOps,57,7.5,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Design,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Monitoring Development,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Module Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Unit Testing,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Azure Policy Development,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Module Usage Example,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Technical Oversight,,Principal Engineer - Cloud & DevOps,60.8,8,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Story,Service Enablement,Fabric - Azure,fabric-mpe,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-mpe,Requirements,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Pilot,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Design,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Monitoring Development,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Module Development,,Principal Engineer - Cloud & DevOps,20.9,2.75,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Unit Testing,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Azure Policy Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Module Usage Example,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Technical Oversight,,Principal Engineer - Cloud & DevOps,45.6,6,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Story,Service Enablement,Fabric - Azure,fabric-domain,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-domain,Requirements,,Principal Engineer - Cloud & DevOps,7.6,1,,,,,
Task,Service Enablement,Fabric - Azure,fabric-domain,Pilot,,Principal Engineer - Cloud & DevOps,38,5,,,,,
Task,Service Enablement,Fabric - Azure,fabric-domain,Design,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-domain,Monitoring Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-domain,Module Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-domain,Unit Testing,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-domain,Azure Policy Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-domain,Module Usage Example,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-domain,Technical Oversight,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-domain,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Story,Service Enablement,Fabric - Azure,fabric-spark-config,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Requirements,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Pilot,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Design,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Monitoring Development,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Module Development,,Principal Engineer - Cloud & DevOps,20.9,2.75,,,,,
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Unit Testing,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Azure Policy Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Module Usage Example,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Technical Oversight,,Principal Engineer - Cloud & DevOps,45.6,6,,,,,
Task,Service Enablement,Fabric - Azure,fabric-spark-config,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Story,Service Enablement,Fabric - Azure,fabric-environment,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-environment,Requirements,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-environment,Pilot,,Principal Engineer - Cloud & DevOps,57,7.5,,,,,
Task,Service Enablement,Fabric - Azure,fabric-environment,Design,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-environment,Monitoring Development,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-environment,Module Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-environment,Unit Testing,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-environment,Azure Policy Development,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-environment,Module Usage Example,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-environment,Technical Oversight,,Principal Engineer - Cloud & DevOps,60.8,8,,,,,
Task,Service Enablement,Fabric - Azure,fabric-environment,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Story,Service Enablement,Fabric - Azure,fabric-workspace-git,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Requirements,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Pilot,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Design,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Monitoring Development,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Module Development,,Principal Engineer - Cloud & DevOps,20.9,2.75,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Unit Testing,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Azure Policy Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Module Usage Example,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Technical Oversight,,Principal Engineer - Cloud & DevOps,45.6,6,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace-git,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Story,Service Enablement,Fabric - Azure,fabric-lakehouse,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Requirements,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Pilot,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Design,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Monitoring Development,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Module Development,,Principal Engineer - Cloud & DevOps,20.9,2.75,,,,,
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Unit Testing,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Azure Policy Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Module Usage Example,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Technical Oversight,,Principal Engineer - Cloud & DevOps,45.6,6,,,,,
Task,Service Enablement,Fabric - Azure,fabric-lakehouse,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Story,Service Enablement,Fabric - Azure,fabric-warehouse,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Requirements,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Pilot,,Principal Engineer - Cloud & DevOps,57,7.5,,,,,
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Design,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Monitoring Development,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Module Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Unit Testing,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Azure Policy Development,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Module Usage Example,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Technical Oversight,,Principal Engineer - Cloud & DevOps,60.8,8,,,,,
Task,Service Enablement,Fabric - Azure,fabric-warehouse,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Story,Service Enablement,Fabric - Azure,fabric-eventhouse,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Requirements,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Pilot,,Principal Engineer - Cloud & DevOps,57,7.5,,,,,
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Design,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Monitoring Development,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Module Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Unit Testing,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Azure Policy Development,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Module Usage Example,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Technical Oversight,,Principal Engineer - Cloud & DevOps,60.8,8,,,,,
Task,Service Enablement,Fabric - Azure,fabric-eventhouse,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Story,Service Enablement,Fabric - Azure,fabric-sql-database,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Requirements,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Pilot,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Design,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Monitoring Development,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Module Development,,Principal Engineer - Cloud & DevOps,20.9,2.75,,,,,
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Unit Testing,,Principal Engineer - Cloud & DevOps,22.8,3,,,,,
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Azure Policy Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Module Usage Example,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Technical Oversight,,Principal Engineer - Cloud & DevOps,45.6,6,,,,,
Task,Service Enablement,Fabric - Azure,fabric-sql-database,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Epic,Proof-of-Concept,,,,,,,,,,active,,
Feature,Proof-of-Concept,Platform Deployment,,,,,,,,,,active,
Story,Proof-of-Concept,Platform Deployment,Bootstrap & Capacity Provisioning,,,,,,,,,,active
Task,Proof-of-Concept,Platform Deployment,Bootstrap & Capacity Provisioning,Deploy fabric-bootstrap module to enable WS OAP tenant gate,,Principal Engineer - Cloud & DevOps,7.6,1,Apply fabric-bootstrap Terraform module; verify fabric_tenant_setting ConfigureWorkspaceLevelOutboundNetworkRules is enabled in Fabric admin portal,Fabric Admin role held by service principal used for Terraform; tenant setting does not already exist,,,
Task,Proof-of-Concept,Platform Deployment,Bootstrap & Capacity Provisioning,Provision Fabric Capacity F64 via azurerm_fabric_capacity,,Principal Engineer - Cloud & DevOps,7.6,1,Deploy azurerm_fabric_capacity resource in target Azure subscription; validate capacity appears in Fabric admin portal with Active state,Azure subscription available with quota for F64 SKU; Terraform service principal has Contributor on resource group,,,
Task,Proof-of-Concept,Platform Deployment,Bootstrap & Capacity Provisioning,Validate capacity state and install Capacity Metrics Power BI app,,Principal Engineer - Cloud & DevOps,3.8,0.5,Run terraform plan to confirm capacity state == Active; install Fabric Capacity Metrics template app from AppSource against provisioned capacity,AppSource accessible from PoC environment; user has Power BI workspace for app install,,,
Story,Proof-of-Concept,Platform Deployment,Workspace & Network Provisioning,,,,,,,,,,active
Task,Proof-of-Concept,Platform Deployment,Workspace & Network Provisioning,Deploy PoC workspace with WS OAP enforced via fabric-workspace module,,Principal Engineer - Cloud & DevOps,7.6,1,Apply fabric-workspace module with capacity_id from previous story; confirm fabric_workspace_network_communication_policy applies inbound+outbound Deny,fabric-bootstrap complete; WS OAP tenant gate enabled,,,
Task,Proof-of-Concept,Platform Deployment,Workspace & Network Provisioning,Configure MPEs to ADLS Gen2 dfs and blob subresources via fabric-mpe module,,Principal Engineer - Cloud & DevOps,7.6,1,Deploy two fabric-mpe module instances targeting PoC ADLS account (subresource_type=dfs and blob); confirm pending connection request appears on ADLS private endpoint blade,ADLS Gen2 account provisioned in same Azure region as Fabric capacity; network team notified for PE approval,,,
Task,Proof-of-Concept,Platform Deployment,Workspace & Network Provisioning,Configure MPE to Azure Key Vault via fabric-mpe module,,Principal Engineer - Cloud & DevOps,3.8,0.5,Deploy fabric-mpe module instance targeting Key Vault (subresource_type=vault); Key Vault used for secrets referenced in pipeline linked services,Key Vault provisioned; workspace system-assigned identity enabled,,,
Task,Proof-of-Concept,Platform Deployment,Workspace & Network Provisioning,Approve all MPE connections on target Azure resources,,Principal Engineer - Cloud & DevOps,3.8,0.5,Approve pending PE connection requests on ADLS and Key Vault via azurerm_private_endpoint_connection or portal; validate MPE status shows Approved in Fabric portal,Approver has Owner or Network Contributor on target resources,,,
Task,Proof-of-Concept,Platform Deployment,Workspace & Network Provisioning,Configure domain hierarchy and default sensitivity label via fabric-domain module,,Principal Engineer - Cloud & DevOps,7.6,1,Apply fabric-domain module; assign PoC workspace to domain; set default_label_id to General sensitivity label; verify label appears on newly created items,Sensitivity label published in M365 compliance centre; label GUID available as Terraform variable,,,
Story,Proof-of-Concept,Platform Deployment,Spark & Git Integration,,,,,,,,,,active
Task,Proof-of-Concept,Platform Deployment,Spark & Git Integration,Deploy custom Spark pools via fabric-spark-config module,,Principal Engineer - Cloud & DevOps,7.6,1,Apply fabric-spark-config with at least one MemoryOptimized custom pool (autoscale 2-8); validate starter pool explicitly disabled; confirm pool visible in workspace Spark settings,WS OAP enforced (disables starter pool); F64 capacity available,,,
Task,Proof-of-Concept,Platform Deployment,Spark & Git Integration,Deploy pinned library environment with private PyPI routing via fabric-environment module,,Principal Engineer - Cloud & DevOps,7.6,1,Apply fabric-environment referencing the custom pool; set spark_properties with private PyPI index-url; include pandas delta-spark pyarrow; validate environment publishes successfully,Private PyPI mirror on blob accessible via blob MPE; packages pre-mirrored,,,
Task,Proof-of-Concept,Platform Deployment,Spark & Git Integration,Connect PoC workspace to Git repository via fabric-workspace-git module,,Principal Engineer - Cloud & DevOps,7.6,1,Apply fabric-workspace-git; workspace admin must first enable Allow Git Integration in Fabric portal (WS OAP blocks by default); validate Git status shows Connected,ADO/GitHub service connection created; allow_git_integration toggled in Fabric admin portal before apply,,,
Task,Proof-of-Concept,Platform Deployment,Spark & Git Integration,Validate CI gate pipeline on sample PR with intentional violations,,Principal Engineer - Cloud & DevOps,7.6,1,Submit test PR with hardcoded credential and public pypi.org URL in notebook; confirm bandit detect-secrets and semgrep all fire and block merge; submit clean PR and confirm gate passes and workspace syncs,GitHub Actions or ADO pipeline configured; branch protection requires CI gate to pass,,,
Feature,Proof-of-Concept,Medallion Lakehouse,,,,,,,,,,active,
Story,Proof-of-Concept,Medallion Lakehouse,Bronze Layer Ingestion,,,,,,,,,,active
Task,Proof-of-Concept,Medallion Lakehouse,Bronze Layer Ingestion,Create Bronze Lakehouse via fabric-lakehouse Terraform module,,Principal Engineer - Cloud & DevOps,7.6,1,Apply fabric-lakehouse in PoC workspace; confirm Lakehouse item and SQL analytics endpoint appear; note OneLake DFS path for pipeline configuration,fabric-lakehouse module built; workspace provisioned,,,
Task,Proof-of-Concept,Medallion Lakehouse,Bronze Layer Ingestion,Build Data Factory pipeline to ingest synthetic financial data from ADLS into Bronze Lakehouse,,"Principal Consultant - Data, AI & IoT",15.2,2,Create Data Pipeline with Copy activity sourcing from ADLS Gen2 (via MPE dfs endpoint) writing Parquet files to Bronze Lakehouse Files section; parameterise source path and target folder,ADLS MPE approved; synthetic dataset pre-loaded to source ADLS container; no PII in PoC data,,,
Task,Proof-of-Concept,Medallion Lakehouse,Bronze Layer Ingestion,Execute pipeline and validate raw data landing in Bronze OneLake path,,"Principal Consultant - Data, AI & IoT",3.8,0.5,Trigger pipeline run; confirm files appear in Bronze Lakehouse Files section; verify OneLake DFS path accessible; spot-check row counts against source,Pipeline and MPE configuration complete,,,
Story,Proof-of-Concept,Medallion Lakehouse,Silver Transformation,,,,,,,,,,active
Task,Proof-of-Concept,Medallion Lakehouse,Silver Transformation,Develop PySpark notebook for Bronze to Silver cleansing and schema enforcement,,"Principal Consultant - Data, AI & IoT",15.2,2,Write notebook using pinned environment; read Bronze Parquet files; apply schema enforcement null handling deduplication column renaming; write Delta table to Silver Lakehouse,Bronze Lakehouse populated; pinned environment deployed; Silver Lakehouse created,,,
